Date,Gas production cumulative,Oil production cumulative,Water production cumulative
1998-01-01,0,0,0
1998-01-02,14759.72852,15169.2998,0
1998-01-05,59038.91406,60677.19922,0
1998-01-14,191876.4688,197200.9063,0
1998-02-10,590389.125,606772,0
1998-03-25,1230055.75,1264188.875,0
1998-05-14,1957770,2012096.625,0
1998-07-03,2683941.75,2758419,0
1998-08-22,3410855.5,3505504,0
1998-10-11,4137565,4252379,0
1998-11-21,4730366,4861630,0
1999-01-01,5323167,5470881,0
1999-02-20,6052528,6220481,0
1999-04-11,6780054.5,6968196,0
1999-05-31,7500245,7708371,0
1999-07-20,8225297,8453543,0
1999-09-08,8958282,9206868,0
1999-10-28,9692437,9961394,0
1999-11-29,10170284,10452502,0
2000-01-01,10648132,10943609,0
2000-02-20,11372234,11687804,2.339461803
2000-04-10,12097839,12433545,7.938335419
2000-05-30,12830294,13186325,16.52508354
2000-06-15,13078409,13441325,19.80364227
2000-07-06,13380782,13752089,24.35836411
2000-08-25,14106504,14497949,38.66908646
2000-10-14,14833758,15245383,56.53796387
2000-11-22,15406909,15834439,80.47872925
2001-01-01,15980060,16423495,114.3052063
2001-02-20,16704070,17167594,173.7260742
2001-04-11,17429864,17913530,255.9691162
2001-05-31,18162800,18666804,367.2036133
2001-07-20,18890580,19414778,511.290741
2001-09-08,19609942,20154104,689.2122803
2001-10-28,20335564,20899860,911.2629395
2001-11-29,20810682,21388162,1100.669067
2002-01-01,21285802,21876466,1360.196289
2002-02-20,22009630,22620380,1885.726196
2002-04-11,22735784,23366684,2583.616455
2002-05-29,23455502,24106374,3388.370117
2002-07-01,23934252,24598408,3990.121582
2002-08-20,24668526,25353058,5048.530762
2002-10-09,25401782,26106662,6396.195801
2002-11-20,26010040,26731800,7691.588379
2003-01-01,26618300,27356936,9219.421875
2003-02-20,27358568,28117746,11147.48242
2003-04-11,28096748,28876412,13378.18652
2003-05-31,28826582,29626496,15835.5918
2003-07-20,29554332,30374442,18544.26367
2003-09-08,30278688,31118898,21423.77344
2003-09-19,30450878,31295868,22122.10156
2003-10-05,30681826,31533224,23071.07813
2003-11-18,31312822,32181728,25835.51758
2004-01-01,31943818,32830234,28996.54102
2004-02-20,32675950,33582684,32743.0293
2004-04-10,33406498,34333500,36968.86328
2004-05-30,34129812,35076888,41384.23438
2004-07-19,34855192,35822396,46212.67578
2004-08-27,35430372,36413536,50126.94922
2004-10-16,36158176,37161536,55660.90234
2004-11-23,36713188,37731952,60207.17969
2005-01-01,37268204,38302368,65228.36328
2005-02-20,38003260,39057824,71996.71094
2005-04-11,38737716,39812660,79200.625
