Date,Gas production cumulative,Oil production cumulative,Water production cumulative
1998-01-01,0,0,0
1998-01-02,14759.72852,15169.2998,0
1998-01-05,59038.91406,60677.19922,0
1998-01-14,191876.4688,197200.9063,0
1998-02-10,590389.125,606772,0
1998-04-01,1328375.625,1365237,0
1998-05-21,2054510.875,2111522,0
1998-07-10,2780786.25,2857951,0
1998-08-29,3507700,3605036,0
1998-10-18,4234278,4351776,0
1998-11-24,4778722.5,4911328.5,0
1999-01-01,5323167,5470881,0
1999-02-20,6052528,6220481,0
1999-04-11,6780054.5,6968196,0
1999-05-31,7500245,7708371,0
1999-07-20,8225297,8453543,0
1999-09-08,8958282,9206868,0
1999-10-28,9692437,9961394,0
1999-11-29,10170284,10452502,0
2000-01-01,10648132,10943609,0
2000-01-30,11074972,11382294,0
2000-03-20,11799074,12126489,0
2000-05-09,12529603,12877290,0
2000-06-28,13262058,13630070,0
2000-08-17,13988120,14376280,0
2000-10-06,14714457,15122772,1.8247931
2000-11-18,15347259,15773133,5.919374943
2001-01-01,15980060,16423495,12.56874561
2001-02-20,16704070,17167594,23.3352375
2001-04-11,17429864,17913530,37.62975693
2001-05-31,18162800,18666804,62.64678574
2001-07-20,18890580,19414778,106.713295
2001-09-08,19609942,20154104,169.8768616
2001-10-28,20335564,20899860,254.4834442
2001-11-29,20810682,21388162,319.1676636
2002-01-01,21285802,21876466,393.8696594
2002-02-20,22009630,22620380,525.1122437
2002-04-11,22735784,23366684,682.4663696
2002-05-31,23471236,24122544,868.8479614
2002-06-28,23897748,24560892,994.6017456
2002-08-17,24632070,25315590,1324.789673
2002-09-27,25225252,25925234,1682.157593
2002-11-14,25921992,26641308,2216.049561
2003-01-01,26618300,27356936,2915.947266
2003-02-20,27358568,28117746,3787.262207
2003-04-11,28096748,28876412,4894.246094
2003-05-31,28826582,29626496,6209.958008
2003-07-20,29554332,30374442,7753.837891
2003-09-08,30278688,31118898,9621.330078
2003-10-28,31002782,31863086,11916.4707
2003-11-29,31473300,32346660,13581.56152
2004-01-01,31943818,32830234,15484.77148
2004-02-20,32675950,33582684,19007.79492
2004-04-10,33406498,34333500,23342.36133
2004-05-30,34129812,35076888,28342.16016
2004-07-19,34855192,35822396,34173.23828
2004-08-28,35451424,36435176,39265.20313
2004-10-17,36179112,37183056,46392.56641
2004-11-24,36723660,37742712,52175.48438
2005-01-01,37268204,38302368,58516.39844
2005-02-20,38003260,39057824,67485.39063
2005-04-11,38737716,39812660,77612.03906
2005-05-31,39469768,40565024,88606.02344
2005-07-20,40201624,41317188,100807.2813
2005-09-08,40933168,42069028,114176.6641
