Date,Gas production cumulative,Oil production cumulative,Water production cumulative
1998-01-01,0,0,0
1998-01-02,14759.72852,15169.2998,0
1998-01-05,59038.91406,60677.19922,0
1998-01-14,191876.4688,197200.9063,0
1998-02-10,590389.125,606772,0
1998-04-01,1328375.625,1365237,0
1998-05-21,2054510.875,2111522,0
1998-07-10,2780786.25,2857951,0
1998-08-29,3507700,3605036,0
1998-10-18,4234278,4351776,0
1998-11-24,4778722.5,4911328.5,0
1999-01-01,5323167,5470881,0
1999-02-20,6052528,6220481,0
1999-04-11,6780054.5,6968196,0
1999-05-31,7500245,7708371,0
1999-07-20,8225297,8453543,0
1999-09-08,8958282,9206868,0
1999-10-28,9692437,9961394,0
1999-11-29,10170284,10452502,0
2000-01-01,10648132,10943609,0
2000-02-13,11271169,11583935,0
2000-04-03,11995608,12328477,0
2000-05-23,12728063,13081257,0
2000-07-12,13459034,13832511,0
2000-08-31,14184755,14578371,0
2000-10-20,14912615,15326428,1.741588354
2000-11-25,15446338,15874962,4.765779972
2001-01-01,15980060,16423495,9.56178093
2001-02-20,16704070,17167594,19.1459446
2001-04-11,17429864,17913530,32.11850739
2001-05-31,18162800,18666804,49.70546722
2001-07-20,18890580,19414778,85.92879486
2001-09-08,19609942,20154104,140.6721344
2001-10-28,20335564,20899860,215.989975
2001-11-29,20810682,21388162,274.1066895
2002-01-01,21285802,21876466,341.6256714
2002-02-20,22009630,22620380,460.5554199
2002-04-11,22735784,23366684,602.9534302
2002-05-31,23471236,24122544,767.3209839
2002-07-20,24206240,24877944,976.3078003
2002-07-31,24369368,25045600,1025.381958
2002-08-15,24593464,25275914,1103.414795
2002-09-30,25265750,25966854,1441.091431
2002-11-15,25942076,26661948,1873.968384
2003-01-01,26618300,27356936,2443.188721
2003-02-20,27358568,28117746,3194.226807
2003-04-11,28096748,28876412,4152.859863
2003-05-31,28826582,29626496,5314.014648
2003-07-20,29554332,30374442,6682.422852
2003-09-08,30278688,31118898,8244.644531
2003-10-28,31002782,31863086,10195.19141
2003-11-29,31473300,32346660,11616.62793
2004-01-01,31943816,32830234,13228.80762
2004-02-20,32675950,33582684,16160.18848
2004-04-10,33406498,34333500,19815.74414
2004-05-30,34129812,35076888,24052.19531
2004-07-19,34855192,35822396,29020.60742
2004-09-07,35584252,36571688,34666.14063
2004-10-18,36182616,37186656,39762.40625
2004-11-24,36725408,37744512,44804.42188
2005-01-01,37268204,38302368,50355.67969
2005-02-20,38003260,39057824,58203.63672
2005-04-11,38737716,39812660,67030.77344
2005-05-31,39469768,40565024,76698.66406
2005-07-20,40201624,41317188,87517.09375
