Date,Gas production cumulative,Oil production cumulative,Water production cumulative
1998-01-01,0,0,0
1998-01-02,14759.72852,15169.2998,0
1998-01-05,59038.91406,60677.19922,0
1998-01-14,191876.4688,197200.9063,0
1998-02-10,590389.125,606772,0
1998-04-01,1328375.625,1365237,0
1998-05-21,2054510.875,2111522,0
1998-07-10,2780786.25,2857951,0
1998-08-29,3507700,3605036,0
1998-10-18,4234278,4351776,0
1998-11-24,4778722.5,4911328.5,0
1999-01-01,5323167,5470881,0
1999-02-20,6052528,6220481,0
1999-04-11,6780054.5,6968196,0
1999-05-31,7500245,7708371,0
1999-07-20,8225297,8453543,0
1999-09-08,8958282,9206868,0
1999-10-28,9692437,9961394,0
1999-11-29,10170284,10452502,0
2000-01-01,10648132,10943609,0
2000-02-20,11372234,11687804,0
2000-03-06,11601564,11923499,0
2000-03-26,11888344,12218236,0.431312293
2000-05-15,12619903,12970096,4.934749126
2000-07-04,13351868,13722372,12.88639164
2000-08-23,14077590,14468232,24.28577614
2000-10-12,14804620,15215436,39.42022324
2000-11-21,15392340,15819466,58.3256073
2001-01-01,15980060,16423495,88.96218872
2001-02-20,16704070,17167594,142.1470032
2001-04-11,17429864,17913530,213.2346497
2001-05-31,18162800,18666804,305.0931702
2001-07-20,18890580,19414778,420.0126343
2001-09-08,19609942,20154104,559.8171997
2001-10-28,20335564,20899860,735.557251
2001-11-29,20810682,21388162,867.5634155
2002-01-01,21285802,21876466,1018.792419
2002-02-20,22009630,22620380,1374.358032
2002-03-15,22349284,22969460,1574.428345
2002-04-08,22703186,23333182,1814.68335
2002-05-28,23438638,24089042,2464.504639
2002-07-17,24173696,24844496,3305.725098
2002-09-05,24907970,25599146,4326.27002
2002-10-25,25639268,26350738,5483.881348
2002-11-28,26128784,26853838,6350.111816
2003-01-01,26618300,27356936,7398.84375
2003-02-16,27306610,28064348,9006.398438
2003-03-06,27580350,28345684,9685.813477
2003-03-24,27836018,28608446,10357.12695
2003-05-13,28567468,29360194,12587.5332
2003-07-02,29297164,30110138,15202.21875
2003-08-21,30021518,30854592,17962.80469
2003-09-30,30607518,31456854,20485.47266
2003-11-15,31275670,32143546,23588.55078
2004-01-01,31943818,32830234,27188.75195
2004-02-20,32675950,33582684,31375.44141
2004-04-10,33406498,34333500,36218.28516
2004-05-30,34129812,35076888,41556.28516
2004-07-19,34855192,35822396,47852.51172
2004-09-07,35584252,36571688,54964.33594
2004-10-27,36311200,37318808,62755.96484
2004-11-29,36789704,37810588,68147.32813
2005-01-01,37268204,38302368,73875.02344
2005-02-20,38003260,39057824,82526.61719
2005-04-11,38737716,39812660,91757.32031
