X,Y,Depth,PERMX,PERMY,PERMZ,PORO,Transmissibility
552292.0,6798283.88,-8197.92,3.7793,3.7793,0.0481,0.1156,1.0
552720.14,6798277.25,-8191.53,50.69,50.69,0.4183,0.1783,1.0
553148.33,6798270.75,-8186.99,44.1791,44.1791,0.373,0.175,1.0
553576.81,6798264.63,-8184.66,125.8668,125.8668,0.8926,0.2002,1.0
554005.8,6798259.13,-8182.89,249.6772,249.6772,1.5796,0.2168,1.0
554435.41,6798254.13,-8185.29,1.5431,1.5431,0.0228,0.094,1.0
554865.73,6798249.75,-8190.42,3.2663,3.2663,0.0426,0.1121,1.0
555296.92,6798246.38,-8195.59,2.402,2.402,0.033,0.1047,1.0
555729.08,6798244.13,-8206.91,122.446,122.446,1.0219,0.4766,1.0
556162.25,6798242.75,-8223.83,339.8849,339.8849,2.3928,0.5431,1.0
556596.48,6798242.38,-8240.85,152.3577,152.3577,1.2261,0.4908,1.0
557031.84,6798243.13,-8257.6,0.3813,0.3813,0.0083,0.1009,1.0
551017.77,6798754.75,-8199.52,2.492,2.492,0.034,0.1056,0.0
551444.72,6798747.63,-8178.79,38.4842,38.4842,0.3325,0.1716,1.0
551872.02,6798740.38,-8158.26,156.2367,156.2367,1.0688,0.2054,1.0
552299.33,6798733.0,-8142.98,198.8388,198.8388,1.3067,0.2113,1.0
552726.53,6798725.63,-8130.86,31.8159,31.8159,0.2838,0.167,1.0
553153.88,6798718.38,-8119.8,41.1596,41.1596,0.3517,0.1733,1.0
553581.64,6798711.5,-8114.71,341.5807,341.5807,2.0511,0.2243,1.0
554010.0,6798705.25,-8114.15,222.3199,222.3199,1.434,0.214,1.0
554439.0,6798699.63,-8113.97,3.9191,3.9191,0.0496,0.1165,1.0
554868.67,6798694.63,-8120.9,44.2343,44.2343,0.3734,0.175,1.0
555299.14,6798690.5,-8135.23,45.8825,45.8825,0.385,0.1759,1.0
555730.53,6798687.5,-8152.42,168.1657,168.1657,1.1364,0.2072,1.0
556162.89,6798685.38,-8169.34,250.9805,250.9805,1.5865,0.2169,1.0
556596.28,6798684.38,-8186.64,261.6164,261.6164,1.6423,0.2179,1.0
557030.78,6798684.63,-8206.69,297.1529,297.1529,2.1394,0.5343,1.0
557466.42,6798685.88,-8227.16,106.5948,106.5948,0.9104,0.4676,1.0
557903.22,6798688.25,-8249.61,505.4795,505.4795,3.3308,0.5689,1.0
558341.14,6798691.88,-8271.9,155.8206,155.8206,1.2493,0.4923,1.0
558780.0,6798696.5,-8291.84,555.1427,555.1427,3.6014,0.575,1.0
559219.48,6798702.0,-8309.65,212.8983,212.8983,1.6204,0.5126,0.747647
550116.27,6799200.5,-8527.77,233.724,233.724,1.7514,0.5187,0.0
550574.11,6799205.38,-8494.37,3.1851,3.1851,0.0488,0.2391,1.0
551020.25,6799204.63,-8152.31,65.8296,65.8296,0.5201,0.1846,0.0
551451.75,6799197.88,-8130.46,2.5559,2.5559,0.0347,0.1062,0.0
551878.75,6799190.0,-8105.6,109.2959,109.2959,0.7936,0.1968,1.0
552305.13,6799181.88,-8083.85,127.5062,127.5062,0.9023,0.2005,1.0
552731.47,6799173.75,-8068.03,160.6165,160.6165,1.0937,0.2061,1.0
553158.23,6799165.88,-8053.24,259.6258,259.6258,1.6319,0.2177,1.0
553585.56,6799158.38,-8045.66,78.0722,78.0722,0.5995,0.1887,1.0
554013.5,6799151.38,-8045.38,204.622,204.622,1.3383,0.212,1.0
554442.03,6799145.0,-8042.9,59.3219,59.3219,0.4769,0.1821,1.0
554871.17,6799139.38,-8050.78,43.951,43.951,0.3714,0.1748,1.0
555301.02,6799134.5,-8070.5,149.7771,149.7771,1.0318,0.2044,1.0
555731.69,6799130.5,-8088.87,94.3458,94.3458,0.702,0.1933,1.0
556163.28,6799127.63,-8106.7,3.1521,3.1521,0.0413,0.1113,1.0
556595.86,6799126.0,-8129.24,139.4543,139.4543,0.9722,0.2027,1.0
557029.48,6799125.5,-8154.67,99.4964,99.4964,0.7338,0.1946,1.0
557464.19,6799126.0,-8180.21,136.351,136.351,0.9542,0.2022,1.0
557899.95,6799127.63,-8206.4,540.2556,540.2556,3.5207,0.5732,1.0
558336.8,6799130.38,-8233.22,82.7233,82.7233,0.737,0.4511,1.0
558774.58,6799134.25,-8262.42,0.608,0.608,0.0123,0.1313,1.0
559212.58,6799139.0,-8290.88,0.3816,0.3816,0.0083,0.1009,0.747647
559656.31,6799142.38,-8443.36,544.7134,544.7134,3.5449,0.5738,1.0
560105.63,6799141.75,-8474.76,0.7826,0.7826,0.0152,0.1477,1.0
550109.17,6799645.63,-8521.2,154.1833,154.1833,1.2383,0.4916,0.0
550566.02,6799650.75,-8479.16,277.8296,277.8296,2.0228,0.5299,1.0
551016.95,6799652.38,-8397.58,8.5644,8.5644,0.1114,0.3035,1.0
551455.7,6799647.88,-8074.79,55.1407,55.1407,0.4487,0.1803,0.0
551884.05,6799639.75,-8049.79,4.4167,4.4167,0.0547,0.1194,0.0
552309.11,6799630.88,-8026.69,3.882,3.882,0.0492,0.1163,1.0
552735.0,6799622.13,-8006.87,179.5943,179.5943,1.2004,0.2088,1.0
553161.61,6799613.5,-7989.09,26.6035,26.6035,0.2445,0.1627,1.0
553588.77,6799605.38,-7979.6,63.2606,63.2606,0.5031,0.1836,1.0
554016.42,6799597.75,-7976.4,30.3596,30.3596,0.2729,0.1659,1.0
554444.58,6799590.63,-7974.7,3.4247,3.4247,0.0443,0.1133,1.0
554873.27,6799584.25,-7984.63,111.2896,111.2896,0.8056,0.1973,1.0
555302.55,6799578.5,-8001.94,38.0331,38.0331,0.3293,0.1714,1.0
555732.53,6799573.63,-8017.55,47.5296,47.5296,0.3965,0.1767,1.0
556163.38,6799569.88,-8039.4,4.1939,4.1939,0.0524,0.1182,1.0
556595.17,6799567.25,-8070.33,66.0001,66.0001,0.5212,0.1846,1.0
557027.95,6799565.75,-8101.85,131.0528,131.0528,0.9232,0.2012,1.0
557461.72,6799565.38,-8133.42,106.8853,106.8853,0.779,0.1963,1.0
557896.39,6799566.13,-8165.32,119.5752,119.5752,0.8553,0.199,1.0
558331.95,6799567.63,-8196.6,56.7809,56.7809,0.4598,0.181,1.0
558768.75,6799570.13,-8229.46,710.0051,710.0051,4.421,0.591,1.0
559207.25,6799573.38,-8262.81,560.4708,560.4708,3.6302,0.5756,0.747647
559651.83,6799575.38,-8415.4,268.7876,268.7876,1.9678,0.5278,1.0
560101.39,6799575.63,-8451.25,0.5394,0.5394,0.0111,0.1235,1.0
550101.53,6800090.5,-8508.12,141.1004,141.1004,1.1501,0.4858,0.0
550555.81,6800094.75,-8448.93,150.0984,150.0984,1.2109,0.4899,1.0
551007.16,6800097.13,-8356.09,9.4902,9.4902,0.1213,0.3101,1.0
551452.52,6800095.88,-8261.44,218.0901,218.0901,1.6532,0.5142,1.0
551885.55,6800089.25,-7998.16,40.2506,40.2506,0.3452,0.1727,0.0
552311.13,6800080.0,-7975.18,4.1261,4.1261,0.0517,0.1178,1.0
552737.48,6800070.88,-7951.78,168.3939,168.3939,1.1377,0.2072,1.0
553164.3,6800061.75,-7930.73,4.4675,4.4675,0.0553,0.1197,1.0
553591.41,6800053.0,-7915.88,30.3615,30.3615,0.2729,0.1659,1.0
554018.84,6800044.63,-7907.83,174.642,174.642,1.1727,0.2081,1.0
554446.69,6800036.75,-7904.66,47.7209,47.7209,0.3978,0.1768,1.0
554874.95,6800029.5,-7913.2,160.4445,160.4445,1.0927,0.2061,0.0
555303.7,6800022.75,-7931.66,68.8897,68.8897,0.5402,0.1857,1.0
555733.06,6800017.0,-7950.43,68.3957,68.3957,0.537,0.1855,1.0
556163.17,6800012.25,-7977.28,128.7463,128.7463,0.9096,0.2008,0.747647
556594.17,6800008.38,-8012.64,78.9814,78.9814,0.6054,0.189,0.747647
557026.14,6800005.75,-8046.86,183.5087,183.5087,1.2222,0.2093,1.0
557459.05,6800004.38,-8084.21,121.4051,121.4051,0.8662,0.1994,1.0
557892.78,6800003.88,-8125.48,1.8544,1.8544,0.0266,0.0985,1.0
558327.11,6800004.0,-8162.02,233.3855,233.3855,1.4933,0.2151,1.0
558761.92,6800004.75,-8195.52,409.1026,409.1026,2.3838,0.2287,0.747647
559201.31,6800006.75,-8230.91,0.4103,0.4103,0.0089,0.1057,0.747647
559648.03,6800009.0,-8386.56,423.2165,423.2165,2.8726,0.5573,1.0
560097.72,6800010.25,-8427.13,0.3837,0.3837,0.0084,0.1013,1.0
550093.7,6800535.38,-8486.61,0.5049,0.5049,0.0105,0.1192,1.0
550546.78,6800539.38,-8408.06,113.4741,113.4741,0.9591,0.4717,1.0
550997.42,6800541.75,-8308.39,137.2151,137.2151,1.1237,0.484,1.0
551445.58,6800542.5,-8206.63,50.3726,50.3726,0.4875,0.4188,1.0
551883.45,6800538.13,-7954.43,24.91,24.91,0.2314,0.1611,0.0
552311.75,6800529.13,-7927.16,32.9333,32.9333,0.292,0.1679,1.0
552739.2,6800519.75,-7900.59,141.3597,141.3597,0.9833,0.203,1.0
553166.38,6800510.38,-7876.08,0.2382,0.2382,0.0048,0.049,1.0
553593.53,6800501.13,-7857.32,3.9086,3.9086,0.0494,0.1165,1.0
554020.84,6800492.13,-7846.27,69.8081,69.8081,0.5462,0.186,1.0
554448.41,6800483.5,-7841.8,101.3212,101.3212,0.745,0.195,1.0
554876.28,6800475.25,-7848.31,69.7862,69.7862,0.546,0.186,1.0
555304.55,6800467.63,-7866.38,173.7222,173.7222,1.1676,0.208,1.0
555733.31,6800460.88,-7891.48,107.5301,107.5301,0.7829,0.1964,1.0
556162.73,6800454.88,-7924.76,134.0821,134.0821,0.9409,0.2018,1.0
556592.94,6800449.75,-7959.31,45.8555,45.8555,0.3848,0.1759,1.0
557024.03,6800445.88,-7995.72,131.7316,131.7316,0.9272,0.2013,1.0
557456.06,6800443.13,-8037.0,124.095,124.095,0.8821,0.1999,1.0
557889.05,6800441.13,-8081.55,34.525,34.525,0.3038,0.169,1.0
558322.67,6800439.88,-8123.91,2.2862,2.2862,0.0316,0.1035,1.0
558756.23,6800438.88,-8163.79,253.9578,253.9578,1.6022,0.2172,0.747647
559196.64,6800440.13,-8311.98,73.5418,73.5418,0.6682,0.4434,1.0
559645.09,6800443.25,-8361.42,532.9689,532.9689,3.4811,0.5724,1.0
560094.63,6800445.75,-8405.23,634.0424,634.0424,4.0231,0.5837,1.0
550086.22,6800980.25,-8459.41,8.8772,8.8772,0.1147,0.3058,1.0
550538.88,6800984.38,-8362.43,169.6511,169.6511,1.341,0.4978,1.0
550989.88,6800987.5,-8262.21,118.9942,118.9942,0.9979,0.4747,1.0
551440.19,6800990.0,-8153.76,50.0244,50.0244,0.4137,0.178,1.0
551881.67,6800987.38,-7911.73,27.2728,27.2728,0.2496,0.1633,0.0
552312.17,6800978.75,-7882.82,21.7461,21.7461,0.2066,0.1579,0.0
552740.2,6800969.25,-7855.64,0.1923,0.1923,0.004,0.0438,1.0
553167.83,6800959.63,-7826.12,132.6194,132.6194,0.9324,0.2015,1.0
553595.22,6800949.88,-7802.7,80.8614,80.8614,0.6173,0.1895,1.0
554022.53,6800940.25,-7788.43,153.8838,153.8838,1.0554,0.2051,1.0
554449.89,6800930.88,-7784.23,172.9735,172.9735,1.1634,0.2079,1.0
554877.42,6800921.75,-7793.37,40.3376,40.3376,0.3458,0.1728,1.0
555305.23,6800913.25,-7814.21,67.6222,67.6222,0.5319,0.1852,1.0
555733.44,6800905.38,-7843.78,59.572,59.572,0.4786,0.1822,1.0
556162.19,6800898.0,-7877.82,66.577,66.577,0.525,0.1849,1.0
556591.59,6800891.63,-7911.81,63.7023,63.7023,0.5061,0.1838,1.0
557021.73,6800886.25,-7951.7,259.4817,259.4817,1.6312,0.2177,1.0
557452.78,6800881.75,-7994.14,341.0354,341.0354,2.0484,0.2243,1.0
557884.97,6800878.25,-8037.11,39.7274,39.7274,0.3414,0.1724,1.0
558318.33,6800875.63,-8083.44,40.3114,40.3114,0.3456,0.1728,1.0
558752.36,6800873.25,-8131.39,60.9894,60.9894,0.488,0.1827,0.747647
559193.77,6800874.25,-8283.36,177.498,177.498,1.3925,0.5008,1.0
559642.67,6800878.38,-8341.3,236.8485,236.8485,1.7709,0.5196,1.0
560092.05,6800882.25,-8390.36,206.7515,206.7515,1.5813,0.5107,1.0
550079.45,6801425.38,-8433.94,238.1923,238.1923,1.7793,0.5199,1.0
550532.14,6801429.88,-8327.66,62.6521,62.6521,0.5847,0.433,1.0
550983.44,6801433.63,-8222.78,0.2587,0.2587,0.006,0.0756,1.0
551433.77,6801436.63,-8108.39,79.4485,79.4485,0.6083,0.1891,1.0
551878.16,6801435.88,-7991.36,65.0725,65.0725,0.5151,0.1843,1.0
552312.14,6801429.0,-7849.76,19.2809,19.2809,0.1869,0.155,0.0
552740.88,6801419.5,-7819.25,0.2065,0.2065,0.0043,0.0455,1.0
553168.98,6801409.75,-7780.32,63.8166,63.8166,0.5068,0.1838,1.0
553596.67,6801399.63,-7752.72,101.8828,101.8828,0.7484,0.1951,1.0
554024.06,6801389.38,-7740.59,98.3533,98.3533,0.7268,0.1943,1.0
554451.28,6801379.25,-7735.94,76.3898,76.3898,0.5888,0.1882,1.0
554878.53,6801369.38,-7744.14,60.6303,60.6303,0.4856,0.1826,1.0
555305.94,6801359.88,-7769.17,76.635,76.635,0.5903,0.1883,1.0
555733.59,6801350.75,-7801.82,88.8993,88.8993,0.6681,0.1918,1.0
556161.66,6801342.13,-7833.8,128.8383,128.8383,0.9102,0.2008,1.0
556590.27,6801334.38,-7867.65,188.0309,188.0309,1.2472,0.2099,1.0
557019.52,6801327.38,-7908.58,151.5858,151.5858,1.0422,0.2047,1.0
557449.55,6801321.0,-7953.35,234.9821,234.9821,1.5018,0.2153,1.0
557880.61,6801315.5,-7998.44,30.4587,30.4587,0.2736,0.166,1.0
558313.28,6801311.0,-8046.71,27.6551,27.6551,0.2525,0.1637,1.0
558748.13,6801307.75,-8098.22,48.7832,48.7832,0.4052,0.1774,0.747647
559190.81,6801309.38,-8249.03,324.5004,324.5004,2.3022,0.5401,1.0
559640.25,6801315.0,-8322.92,208.5719,208.5719,1.5929,0.5113,1.0
560089.88,6801320.25,-8387.26,475.7467,475.7467,3.1667,0.565,1.0
550073.41,6801870.63,-8411.22,298.1735,298.1735,2.1455,0.5345,0.0
550526.2,6801875.5,-8302.44,3.9341,3.9341,0.0582,0.2528,1.0
550977.33,6801879.5,-8193.58,0.0827,0.0827,0.002,0.0234,1.0
551426.55,6801882.25,-8076.41,17.5827,17.5827,0.1731,0.1527,1.0
551873.58,6801883.75,-7955.75,79.7497,79.7497,0.6103,0.1892,1.0
552312.06,6801879.75,-7816.19,18.4317,18.4317,0.18,0.1539,0.0
552741.92,6801870.38,-7782.01,24.359,24.359,0.2271,0.1606,0.0
553170.3,6801860.5,-7739.92,28.3326,28.3326,0.2576,0.1642,1.0
553598.19,6801850.13,-7713.9,70.2146,70.2146,0.5488,0.1861,1.0
554025.66,6801839.5,-7705.3,66.5729,66.5729,0.525,0.1849,1.0
554452.78,6801828.88,-7701.16,79.128,79.128,0.6063,0.189,1.0
554879.78,6801818.25,-7706.74,4.4124,4.4124,0.0547,0.1194,1.0
555306.8,6801807.75,-7729.16,1.712,1.712,0.0249,0.0965,1.0
555733.92,6801797.5,-7762.63,1.9738,1.9738,0.028,0.1,1.0
556161.31,6801787.63,-7797.93,153.5664,153.5664,1.0536,0.205,1.0
556589.14,6801778.25,-7831.91,50.5916,50.5916,0.4176,0.1782,1.0
557017.59,6801769.5,-7870.46,68.8377,68.8377,0.5398,0.1857,1.0
