Date,Gas production cumulative,Oil production cumulative,Water production cumulative
1998-01-01,0,0,0
1998-01-02,14759.72852,15169.2998,0
1998-01-05,59038.91406,60677.19922,0
1998-01-14,191876.4688,197200.9063,0
1998-02-10,590389.125,606772,0
1998-04-01,1328375.625,1365237,0
1998-05-21,2054510.875,2111522,0
1998-07-10,2780786.25,2857951,0
1998-08-29,3507700,3605036,0
1998-10-18,4234278,4351776,0
1998-11-24,4778722.5,4911328.5,0
1999-01-01,5323167,5470881,0
1999-02-20,6052528,6220481,0
1999-04-11,6780054.5,6968196,0
1999-05-31,7500245,7708371,0
1999-07-20,8225297,8453543,0
1999-09-08,8958282,9206868,0
1999-10-06,9381851,9642190,0
1999-11-01,9765655,10036644,0
1999-12-01,10206893,10490127,0
2000-01-01,10648132,10943609,0
2000-02-20,11372234,11687804,0
2000-04-10,12097839,12433545,0.155354753
2000-05-30,12830294,13186325,4.289254665
2000-07-19,13560325,13936614,12.62134838
2000-09-07,14286047,14682474,25.42310715
2000-10-27,15014690,15431337,46.56258774
2000-11-29,15497375,15927416,73.41616821
2001-01-01,15980060,16423495,113.2812347
2001-02-20,16704070,17167594,202.1713715
2001-04-11,17429864,17913530,325.7867432
2001-05-31,18162800,18666804,489.4421692
2001-07-20,18890580,19414778,698.7210693
2001-07-31,19050470,19579106,746.3987427
2001-08-15,19270014,19804742,823.1873169
2001-09-30,19928648,20481652,1203.769409
2001-11-15,20607126,21178958,1796.195679
2002-01-01,21285802,21876466,2659.935791
2002-02-20,22009630,22620380,3851.564209
2002-04-11,22735784,23366684,5418.074219
2002-05-31,23471236,24122544,7426.870605
2002-07-20,24206240,24877944,10215.45898
2002-09-08,24940514,25632594,14085.06055
2002-10-28,25671548,26383912,19180.35156
2002-11-26,26099594,26823836,22683.1875
2003-01-01,26618300,27356936,28010.35547
2003-02-20,27358568,28117746,36933.30859
2003-04-11,28096748,28876412,48159.57031
2003-05-31,28826582,29626496,61544.70313
2003-07-20,29554332,30374442,77539.10938
2003-08-29,30146110,30982642,92086.33594
2003-10-18,30870294,31726920,112466.0391
2003-11-24,31407056,32278576,128763.875
2004-01-01,31943816,32830234,146555.2969
2004-02-20,32675950,33582684,171841.4844
2004-04-10,33406498,34333500,199185.5938
2004-05-30,34129812,35076888,227478.0313
2004-07-19,34855192,35822396,257580.9688
2004-09-07,35584252,36571688,289037.4375
2004-10-27,36311200,37318808,322859.875
2004-11-29,36789704,37810588,346211.0313
2005-01-01,37268204,38302368,370683.0313
2005-02-20,38003260,39057824,408712.0625
2005-04-11,38737716,39812660,449458.25
2005-05-31,39469768,40565024,492150.3438
