Date,Gas production cumulative,Oil production cumulative,Water production cumulative
1998-01-01,0,0,0
1998-01-02,14759.72852,15169.2998,0
1998-01-05,59038.91406,60677.19922,0
1998-01-14,191876.4688,197200.9063,0
1998-02-10,590389.125,606772,0
1998-04-01,1328375.625,1365237,0
1998-05-21,2054510.875,2111522,0
1998-07-10,2780786.25,2857951,0
1998-08-29,3507700,3605036,0
1998-10-18,4234278,4351776,0
1998-11-24,4778722.5,4911328.5,0
1999-01-01,5323167,5470881,0
1999-02-20,6052528,6220481,0
1999-04-11,6780054.5,6968196,0
1999-05-31,7500245,7708371,0
1999-07-20,8225297,8453543,0
1999-09-08,8958282,9206868,0
1999-10-28,9692437,9961394,0
1999-11-29,10170284,10452502,0
1999-12-15,10409208,10698056,0
2000-01-01,10648132,10943609,0
2000-02-18,11354131,11669200,0
2000-04-08,12079528,12414725,0
2000-05-28,12811983,13167505,0
2000-07-17,13542182,13917967,0
2000-09-05,14267904,14663827,1.072581291
2000-10-25,14996407,15412546,5.530591965
2000-11-28,15488234,15918020,10.1438942
2001-01-01,15980060,16423495,16.39860344
2001-02-20,16704070,17167594,29.03210258
2001-04-11,17429864,17913530,45.78186417
2001-05-31,18162800,18666804,83.91730499
2001-07-20,18890580,19414778,142.4592743
2001-09-08,19609942,20154104,221.8194122
2001-10-28,20335564,20899860,325.1608276
2001-11-29,20810682,21388162,403.2595215
2002-01-01,21285802,21876466,492.7892151
2002-02-20,22009630,22620380,649.2590942
2002-04-11,22735784,23366684,839.2307129
2002-04-22,22899194,23534630,882.0124512
2002-05-07,23123644,23765306,945.694458
2002-06-22,23796988,24457336,1231.481812
2002-08-11,24531472,25212202,1673.044189
2002-09-30,25265746,25966852,2281.184326
2002-11-15,25942074,26661946,2979.970459
2003-01-01,26618300,27356936,3861.925293
2003-02-20,27358568,28117746,5028.947754
2003-04-11,28096748,28876412,6483.172363
2003-05-31,28826582,29626496,8190.249512
2003-07-20,29554332,30374442,10332.05273
2003-09-08,30278688,31118898,12944.88574
2003-10-28,31002782,31863086,16158.56836
2003-11-29,31473300,32346660,18569.69531
2004-01-01,31943818,32830234,21345.16016
2004-02-20,32675950,33582684,26266.73633
2004-04-10,33406498,34333500,32141.47656
2004-05-30,34129812,35076888,38769.73438
2004-07-19,34855192,35822396,46179.125
2004-09-07,35584252,36571688,54283.27344
2004-10-27,36311200,37318808,63383.66406
2004-11-29,36789704,37810588,69852.96094
2005-01-01,37268204,38302368,76896.42969
2005-02-20,38003260,39057824,88244.17188
2005-04-11,38737716,39812660,100832.0156
2005-05-31,39469768,40565024,114317.2656
